Date,POP_orig,POP_dest,GDP_orig,GDP_dest,AGI_orig,AGI_dest,LABF_orig,LABF_orig,DEN_orig,DEN_dest,SUR_orig,SUR_dest,DIST,Mig
2005,8.354664341,7.212716642,11.45616648,11.83591126,4.800765144,14.13366328,65.3179695,67.54597835,2.081080001,2.684314204,6.281244779,4.618466492,4.0553908,3.033423755
2006,8.360438642,7.213414178,11.56178154,11.86566959,4.868222837,14.3288449,65.61064203,67.42049028,2.086854301,2.68501174,6.281244779,4.618466492,4.0553908,3.032618761
2007,8.366187981,7.214358862,11.63570158,11.92868199,4.918851915,14.53570696,65.8362152,67.3681918,2.09260364,2.685956424,6.281244779,4.618466492,4.0553908,3.095169351
2008,8.371935132,7.216049538,11.70776483,11.97857764,4.952433765,14.77371219,66.00301231,67.33429486,2.098350791,2.6876471,6.281244779,4.618466492,4.0553908,3.096214585
2009,8.37770785,7.218283047,11.73205591,11.94027668,4.967382044,15.06925774,66.11976605,67.23872368,2.104123509,2.690266706,6.281244779,4.618466492,4.0553908,3.045322979
2010,8.383517765,7.220510644,11.87800111,11.92807865,4.962514093,15.43747415,66.20938439,67.04027839,2.109933424,2.692494303,6.281244779,4.618466492,4.0553908,3.088844563
2011,8.38937164,7.222536319,11.95083643,11.95677843,5.044132026,15.88895528,66.43167506,66.77679604,2.115787299,2.694648753,6.281244779,4.618466492,4.0553908,3.117271296
2012,8.395241997,7.224143447,11.96278113,11.92372227,5.117566865,16.39401042,66.6076764,66.409911,2.121657657,2.696255881,6.281244779,4.618466492,4.0553908,3.067442843
2013,8.401064891,7.225423838,11.96024436,11.94308517,5.192082389,16.9250017,66.77005263,65.99351489,2.12748055,2.697922827,6.281245006,4.618466492,4.0553908,3.123198075
2014,8.406758254,7.226986552,11.9497874,11.95044664,5.278582119,17.441545,66.95356767,65.61633215,2.133173913,2.699485541,6.281846623,4.618466492,4.0553908,3.144262774
2015,8.412264368,7.228911432,11.93492962,11.88398648,5.38343514,17.9201888,67.16559219,65.32420021,2.138680028,2.701668316,6.281846623,4.618466492,4.0553908,3.170555059
2016,8.417565328,7.231222655,11.96935876,11.89434954,5.524336262,18.37166129,67.2429804,65.0519292,2.143980987,2.703979539,6.282581332,4.618466492,4.0553908,3.261738547
2017,8.422673488,7.233790219,12.00673071,11.92109816,5.68194834,18.79213202,67.40315016,64.85473799,2.149089148,2.706547103,6.282590893,4.618466492,4.0553908,3.20709554
2018,8.42760059,7.23632621,12.01798088,11.96096684,5.857165613,19.19619263,67.59163708,64.69564866,2.154016249,2.709083093,6.282600991,4.618466492,4.0553908,3.231214648
2019,8.432368824,7.239171149,12.04886884,11.95913413,6.050302682,19.60531972,67.73457784,64.51118404,2.158784483,2.711928033,6.282600991,4.618466492,4.0553908,3.24674471
2020,8.436994837,7.241583832,12.02476837,11.96088223,6.262513385,20.03482139,67.80148032,64.26352061,2.163410497,2.714340716,6.282600991,4.618452196,4.0553908,3.069668097
